event_name,radius_name,radius_km,f_klein_hz,f_gw_hz,snr_original,snr_klein,resonance_factor,improvement_ratio,ligo_optimal_range,ligo_marginal_range,mass_1,mass_2,distance_mpc,gps_time
GW231114_043211,Klein_Fundamental_419km,419.3,113.79311135790466,140.44313528294688,10.0,14.77570835567803,1.477570835567803,1.477570835567803,True,True,23.1,8.2,1340.0,1383971549.2
GW231113_200417,Klein_Fundamental_419km,419.3,113.79311135790466,231.36158601874936,10.5,12.775413259410145,1.2167060247057282,1.2167060247057282,True,True,11.6,7.4,1150.0,1383941075.9
GW231113_150041,Klein_Fundamental_419km,419.3,113.79311135790466,,8.7,8.7,1.0,1.0,True,True,,,,1383922859.4
GW231113_122623,Klein_Fundamental_419km,419.3,113.79311135790466,65.02766470941182,8.6,11.119377644741817,1.292950888923467,1.292950888923467,True,True,40.2,27.4,3200.0,1383913601.9
GW231110_040320,Klein_Fundamental_419km,419.3,113.79311135790466,136.51770603590802,11.5,17.94992019496136,1.560862625648814,1.560862625648814,True,True,19.6,12.6,1860.0,1383624218.2
GW231108_125142,Klein_Fundamental_419km,419.3,113.79311135790466,108.27266340778914,12.6,33.47914939680147,2.6570753489524974,2.6570753489524974,True,True,23.2,17.4,2030.0,1383483120.5
GW231104_133418,Klein_Fundamental_419km,419.3,113.79311135790466,210.32871456249947,11.8,14.451084090024164,1.2246681432223867,1.2246681432223867,True,True,12.3,8.6,1460.0,1383140076.9
GW231102_232433,Klein_Fundamental_419km,419.3,113.79311135790466,,7.6,7.6,1.0,1.0,True,True,,,,1383002691.5
GW231102_071736,Klein_Fundamental_419km,419.3,113.79311135790466,41.8654298510118,15.6,19.40564744463891,1.2439517592717249,1.2439517592717249,True,True,62.0,43.0,3700.0,1382944674.4
GW231102_052214,Klein_Fundamental_419km,419.3,113.79311135790466,,7.9,7.9,1.0,1.0,True,True,,,,1382937752.4
GW231029_111508,Klein_Fundamental_419km,419.3,113.79311135790466,41.08289845192746,10.8,13.42475963047405,1.2430332991179676,1.2430332991179676,True,True,65.0,42.0,3100.0,1382613326.8
GW231028_153006,Klein_Fundamental_419km,419.3,113.79311135790466,28.544611262053497,22.4,27.5858442097952,1.2315109022230002,1.2315109022230002,True,True,99.0,55.0,4200.0,1382542224.3
GW231026_130704,Klein_Fundamental_419km,419.3,113.79311135790466,,8.3,8.3,1.0,1.0,True,True,,,,1382360842.2
GW231020_142947,Klein_Fundamental_419km,419.3,113.79311135790466,225.42923765929427,12.0,14.622119695149387,1.2185099745957821,1.2185099745957821,True,True,12.2,7.3,1230.0,1381847405.6
GW231018_233037,Klein_Fundamental_419km,419.3,113.79311135790466,232.58572139451,9.1,11.068936135869189,1.2163666083372735,1.2163666083372735,True,True,11.6,7.3,1520.0,1381707055.0
GW231014_040532,Klein_Fundamental_419km,419.3,113.79311135790466,124.17712243944173,9.0,19.639326839121214,2.1821474265690237,2.1821474265690237,True,True,20.6,14.8,2300.0,1381291551.0
GW231013_135504,Klein_Fundamental_419km,419.3,113.79311135790466,,8.4,8.4,1.0,1.0,True,True,,,,1381240522.4
GW231008_142521,Klein_Fundamental_419km,419.3,113.79311135790466,61.82658416816088,9.3,11.925948609252695,1.2823600655110423,1.2823600655110423,True,True,46.0,25.1,2800.0,1380810339.8
GW231005_144455,Klein_Fundamental_419km,419.3,113.79311135790466,,7.3,7.3,1.0,1.0,True,True,,,,1380552313.4
GW231005_091549,Klein_Fundamental_419km,419.3,113.79311135790466,87.74191884942591,11.0,16.37251259860073,1.48841023623643,1.4884102362364298,True,True,28.5,21.6,3700.0,1380532567.5
GW231005_021030,Klein_Fundamental_419km,419.3,113.79311135790466,32.80500100265849,10.4,12.842414014544238,1.2348475013984843,1.2348475013984843,True,True,85.0,49.0,6100.0,1380507049.0
GW231004_232346,Klein_Fundamental_419km,419.3,113.79311135790466,43.95870134356238,8.9,11.094356995397645,1.2465569657750162,1.2465569657750162,True,True,66.0,34.0,4200.0,1380497044.3
GW231002_143916,Klein_Fundamental_419km,419.3,113.79311135790466,,9.4,9.4,1.0,1.0,True,True,,,,1380292774.7
GW231001_140220,Klein_Fundamental_419km,419.3,113.79311135790466,37.57153960988238,11.5,14.251308088164711,1.23924418157954,1.23924418157954,True,True,77.0,40.0,4200.0,1380204158.7
GW230930_110730,Klein_Fundamental_419km,419.3,113.79311135790466,74.88705509976556,9.0,12.076628332763283,1.3418475925292537,1.3418475925292537,True,True,34.1,24.6,4900.0,1380107268.4
GW230928_215827,Klein_Fundamental_419km,419.3,113.79311135790466,51.71611922772045,10.5,13.214439176082116,1.2585180167697254,1.2585180167697254,True,True,55.0,30.0,4700.0,1379973525.1
GW230927_153832,Klein_Fundamental_419km,419.3,113.79311135790466,114.17844504821399,20.3,60.858148324354296,2.9979383411011966,2.9979383411011966,True,True,21.9,16.6,1150.0,1379864330.9
GW230927_043729,Klein_Fundamental_419km,419.3,113.79311135790466,70.55971323204234,12.1,15.931109067571159,1.31662058409679,1.31662058409679,True,True,34.9,27.4,3200.0,1379824667.1
GW230925_143957,Klein_Fundamental_419km,419.3,113.79311135790466,,8.0,8.0,1.0,1.0,True,True,,,,1379688015.5
GW230924_124453,Klein_Fundamental_419km,419.3,113.79311135790466,84.69884651938801,13.5,19.424066482507254,1.4388197394449818,1.4388197394449818,True,True,28.7,23.2,2360.0,1379594711.8
GW230922_040658,Klein_Fundamental_419km,419.3,113.79311135790466,34.61315066422235,12.5,15.455308138600731,1.2364246510880585,1.2364246510880585,True,True,76.0,51.0,6400.0,1379390836.1
GW230922_020344,Klein_Fundamental_419km,419.3,113.79311135790466,63.61606562020605,13.4,17.259827327304595,1.288046815470492,1.2880468154704923,True,True,39.8,29.3,1550.0,1379383442.9
GW230920_071124,Klein_Fundamental_419km,419.3,113.79311135790466,77.52857379816997,11.1,15.110928271968117,1.361344889366497,1.361344889366497,True,True,32.5,24.2,2800.0,1379229102.7
GW230920_064709,Klein_Fundamental_419km,419.3,113.79311135790466,,9.5,9.5,1.0,1.0,True,True,,,,1379227647.3
GW230919_215712,Klein_Fundamental_419km,419.3,113.79311135790466,89.34695395033005,16.8,25.54539540164041,1.5205592500976433,1.5205592500976433,True,True,27.5,21.7,1280.0,1379195850.0
GW230914_111401,Klein_Fundamental_419km,419.3,113.79311135790466,45.790313899544145,17.2,21.483306930746142,1.249029472717799,1.249029472717799,True,True,60.0,36.0,2600.0,1378725259.7
GW230911_195324,Klein_Fundamental_419km,419.3,113.79311135790466,77.80301122754405,11.1,15.13585358738909,1.3635904132782963,1.3635904132782963,True,True,36.2,20.3,1080.0,1378497222.2
GW230904_152545,Klein_Fundamental_419km,419.3,113.79311135790466,,9.2,9.2,1.0,1.0,True,True,,,,1377876363.2
GW230904_051013,Klein_Fundamental_419km,419.3,113.79311135790466,248.35424487888352,10.5,12.73420222077534,1.2127811638833657,1.2127811638833657,True,True,10.6,7.1,1000.0,1377839431.1
GW230902_224555,Klein_Fundamental_419km,419.3,113.79311135790466,,7.5,7.5,1.0,1.0,True,True,,,,1377729973.7
GW230902_172430,Klein_Fundamental_419km,419.3,113.79311135790466,,8.5,8.5,1.0,1.0,True,True,,,,1377710688.8
GW230902_122814,Klein_Fundamental_419km,419.3,113.79311135790466,,8.1,8.1,1.0,1.0,True,True,,,,1377692912.9
GW230831_134621,Klein_Fundamental_419km,419.3,113.79311135790466,,8.8,8.8,1.0,1.0,True,True,,,,1377524799.7
GW230831_015414,Klein_Fundamental_419km,419.3,113.79311135790466,59.40365046427349,8.6,10.969183535101582,1.2754864575699514,1.2754864575699514,True,True,43.0,31.0,4700.0,1377482072.1
GW230830_064744,Klein_Fundamental_419km,419.3,113.79311135790466,,8.5,8.5,1.0,1.0,True,True,,,,1377413282.2
GW230825_041334,Klein_Fundamental_419km,419.3,113.79311135790466,60.382831515882394,8.8,11.247793576742547,1.278158360993471,1.278158360993471,True,True,45.0,27.8,4600.0,1376972032.5
GW230824_135331,Klein_Fundamental_419km,419.3,113.79311135790466,,9.7,9.7,1.0,1.0,True,True,,,,1376920429.9
