event_name,catalog,observing_run,m1_solar,m2_solar,M_total_solar,energy_radiated,luminosity_distance_Mpc,snr,epsilon_max,final_state,mode_parity
GW230726_002940,GWTC-4.0,O4a,35.6,27.9,63.6,3.0,2000.0,10.5,0.30788013813439297,Klein_extrema,0
GW200224_222234,GWTC-3-confident,O3a,40.0,32.7,72.3,3.5999999999999943,1710.0,20.0,0.3360739569637498,Klein_extrema,1
GW191126_115259,GWTC-3-confident,O3b,12.1,8.3,20.7,1.099999999999998,1620.0,8.3,0.1580988597863465,Klein_deformada,-1
GW230731_215307,GWTC-4.0,O4a,10.4,7.8,18.3,0.9000000000000021,1110.0,12.2,0.13533876787793003,Klein_relajada,-1
GW230729_082317,GWTC-4.0,O4a,12.3,7.6,20.3,0.9000000000000021,1630.0,9.5,0.13533876787793003,Klein_relajada,-1
GW230806_204041,GWTC-4.0,O4a,51.0,35.0,85.0,4.0,5500.0,9.4,0.3531287701087048,Klein_extrema,1
GW230803_033412,GWTC-4.0,O4a,45.0,29.0,74.0,4.0,4900.0,9.4,0.3531287701087048,Klein_extrema,1
GW230811_032116,GWTC-4.0,O4a,35.6,22.1,57.9,2.6000000000000014,2100.0,13.6,0.2848218503983686,Klein_deformada,0
GW230814_061920,GWTC-4.0,O4a,69.0,42.0,110.0,5.0,4000.0,11.2,0.38862799783970886,Klein_extrema,1
GW230805_034249,GWTC-4.0,O4a,32.1,22.6,54.9,2.5,3500.0,9.5,0.2785618683954423,Klein_deformada,0
GW230820_212515,GWTC-4.0,O4a,62.0,34.0,96.0,4.0,4000.0,9.3,0.3531287701087048,Klein_extrema,1
GW230824_033047,GWTC-4.0,O4a,53.0,36.0,88.0,4.0,4700.0,11.1,0.3531287701087048,Klein_extrema,1
GW230825_041334,GWTC-4.0,O4a,43.0,27.3,71.0,4.0,4900.0,8.8,0.3531287701087048,Klein_extrema,1
GW230831_015414,GWTC-4.0,O4a,42.0,30.0,73.0,4.0,4900.0,8.6,0.3531287701087048,Klein_extrema,1
GW230904_051013,GWTC-4.0,O4a,10.6,7.1,17.9,0.7999999999999972,1010.0,10.5,0.12315018334007945,Klein_relajada,-1
GW230911_195324,GWTC-4.0,O4a,33.6,21.7,55.3,2.299999999999997,1370.0,11.1,0.265375184437979,Klein_deformada,0
GW230914_111401,GWTC-4.0,O4a,59.0,36.0,95.0,4.099999999999994,2700.0,17.2,0.3571068137199486,Klein_extrema,1
GW230819_171910,GWTC-4.0,O4a,70.0,35.0,106.0,4.0,4000.0,9.9,0.3531287701087048,Klein_extrema,1
GW230920_071124,GWTC-4.0,O4a,32.4,23.8,56.4,2.5,2900.0,11.1,0.2785618683954423,Klein_deformada,0
GW230922_020344,GWTC-4.0,O4a,39.3,29.2,68.6,3.1999999999999886,1640.0,13.4,0.3169401546794495,Klein_extrema,1
GW230922_040658,GWTC-4.0,O4a,76.0,51.0,125.0,6.0,6400.0,12.5,0.416544139920784,Klein_extrema,1
GW230924_124453,GWTC-4.0,O4a,28.8,23.1,51.8,2.5,2400.0,13.5,0.2785618683954423,Klein_deformada,0
GW230927_043729,GWTC-4.0,O4a,34.9,27.1,61.8,2.8999999999999986,3300.0,12.1,0.30239184861952284,Klein_extrema,0
GW230927_153832,GWTC-4.0,O4a,21.9,16.5,38.3,1.7999999999999972,1180.0,20.3,0.22791318941673006,Klein_deformada,0
