event_id,detection_category,system_type,total_mass,distance_mpc,snr_network,epsilon_max,klein_activated,snr_enhanced,klein_enhancement
SIM_001036,confident,BBH,176.34151670733834,238.52567946420666,5.9782961855628205,0.32536399222885587,True,11.005011522992643,1.8408274166089327
SIM_001622,confident,BBH,186.41590542878828,1184.554787247409,4.536311586112375,0.3418656064508049,True,10.517181711678711,2.3184434120170194
SIM_003418,confident,BBH,171.7705194079698,2193.465784789642,3.1364114615948155,0.31702864621899784,True,8.0082078541649,2.553302700307329
SIM_005721,confident,BBH,108.43972337673738,98.35313952170044,11.872324360041802,0.2211010512185676,False,11.872324360041802,1.0
SIM_006478,confident,BBH,98.41793600626578,116.68085483940969,17.36163504095995,0.20690484918711163,False,17.36163504095995,1.0
SIM_007907,confident,BBH,139.0824960844101,444.5486843748719,11.045514391181998,0.27205138800869694,False,11.045514391181998,1.0
SIM_009671,confident,BBH,168.00544710702053,1333.9523569739458,4.297578372196464,0.3097044703748151,True,8.807912883986983,2.049506052285282
SIM_009928,confident,BBH,173.47555379356555,283.5726544340647,15.823731587139713,0.3202060992313337,False,15.823731587139713,1.0
SIM_000483,subthreshold,BBH,141.60595622189498,681.1761560510744,5.527415121991807,0.2790762808127111,False,5.527415121991807,1.0
SIM_000499,subthreshold,BBH,195.67877668385273,1448.0094827033593,1.6568823018581245,0.3551343359746872,True,4.300749010164643,2.5956876993263385
SIM_000519,subthreshold,BBH,76.10850513364613,413.99284336540785,4.3841699315928295,0.12566515480074048,False,4.3841699315928295,1.0
SIM_000680,subthreshold,BBH,194.0287902344212,1078.3199483865326,2.6077865854761426,0.35288821936717013,True,6.411044807250178,2.458423876768128
SIM_000714,subthreshold,BBH,196.71845415880367,2726.6288185110543,1.8516930539531722,0.3565252972661887,True,4.348693614069568,2.348495937156301
SIM_000751,subthreshold,BBH,148.65873452067677,1405.9833354414418,4.442666436643045,0.26374174282740864,False,4.442666436643045,1.0
SIM_001381,subthreshold,BBH,199.80520466285586,2007.840673520815,2.1140141328705018,0.3605482840625155,True,5.8983918152209425,2.790138307737728
SIM_001454,subthreshold,BBH,143.5592624796626,1987.6120704462667,1.5937930468611912,0.2737446492753566,True,4.201165268119541,2.635954069691355
SIM_001727,subthreshold,BBH,102.35380273329721,525.2098388892867,4.92696638995668,0.20724632917319252,False,4.92696638995668,1.0
SIM_002213,subthreshold,BBH,187.4427589649797,443.88610679670086,4.9281670549781476,0.3434193063409163,False,4.9281670549781476,1.0
