ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
286,4533.473335601824,4533.473335601824,0.0,0.0,0.0,1.4810502488509167e+23,0.0
287,4517.409180598788,4517.409180598788,0.0,0.0,0.0,1.4810502488509167e+23,0.0
288,4501.451286063319,4501.451286063319,0.0,0.0,0.0,1.4810502488509167e+23,0.0
289,4485.598565006728,4485.598565006728,0.0,0.0,0.0,1.4810502488509167e+23,0.0
290,4469.849945292107,4469.849945292107,0.0,0.0,0.0,1.4810502488509167e+23,0.0
291,4454.2043693811565,4454.2043693811565,0.0,0.0,0.0,1.4810502488509167e+23,0.0
292,4438.6607940861695,4438.6607940861695,0.0,0.0,0.0,1.4810502488509167e+23,0.0
293,4423.218190327074,4423.218190327074,0.0,0.0,0.0,1.4810502488509167e+23,0.0
294,4407.875542893389,4407.875542893389,0.0,0.0,0.0,1.4810502488509167e+23,0.0
295,4392.6318502110025,4392.6318502110025,0.0,0.0,0.0,1.4810502488509167e+23,0.0
296,4377.486124113633,4377.486124113633,0.0,0.0,0.0,1.4810502488509167e+23,0.0
