event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW191204_110529,GWTC-3-confident,1,1259492747.5,27.3,-5.9,10.8,19.2,-6.0,5.5,47.1,-7.8,9.1,45.0,-7.5,8.7,19.8,-3.2,3.6,1900.0,-1100.0,1700.0,0.34,-0.18,0.25,8.9,-0.6,0.4,0.05,-0.26,0.25,3.3,0.74239,,,,O3b,2.1000000000000014
GW191204_171526,GWTC-3-confident,1,1259514944.0,11.7,-1.7,3.3,8.4,-1.7,1.3,20.19,-0.95,1.64,19.18,-0.93,1.71,8.56,-0.28,0.41,640.0,-260.0,200.0,0.13,-0.05,0.04,17.4,-0.3,0.2,0.16,-0.05,0.08,1e-05,0.99,,,,O3b,1.0100000000000016
GW191215_223052,GWTC-3-confident,1,1260484270.3,24.9,-4.1,7.1,18.1,-4.1,3.8,43.3,-4.3,5.3,41.4,-4.1,5.1,18.4,-1.7,2.2,1930.0,-860.0,890.0,0.35,-0.14,0.13,11.2,-0.4,0.3,-0.04,-0.21,0.17,1e-05,0.99,,,,O3b,1.8999999999999986
GW191216_213338,GWTC-3-confident,1,1260567236.4,12.1,-2.2,4.6,7.7,-1.9,1.6,19.8,-0.93,2.7,18.87,-0.93,2.81,8.33,-0.19,0.22,340.0,-130.0,120.0,0.07,-0.03,0.02,18.6,-0.2,0.2,0.11,-0.06,0.13,1e-05,0.99,,,,O3b,0.9299999999999997
GW191219_163120,GWTC-3-confident,1,1260808298.4,31.1,-2.8,2.2,1.17,-0.06,0.07,32.3,-2.7,2.2,32.2,-2.7,2.2,4.31,-0.17,0.12,550.0,-160.0,240.0,0.11,-0.03,0.05,9.1,-0.8,0.5,0.0,-0.09,0.07,4.0,0.8224,,,,O3b,0.09999999999999432
GW191222_033537,GWTC-3-confident,1,1261020955.1,45.1,-8.0,10.9,34.7,-10.5,9.3,79.0,-11.0,16.0,75.5,-9.9,15.3,33.8,-5.0,7.1,3000.0,-1700.0,1700.0,0.51,-0.26,0.23,12.5,-0.3,0.2,-0.04,-0.25,0.2,1e-05,0.99,,,,O3b,3.5
GW191230_180458,GWTC-3-confident,1,1261764316.4,49.4,-9.6,14.0,37.0,-12.0,11.0,86.0,-12.0,19.0,82.0,-11.0,17.0,36.5,-5.6,8.2,4300.0,-1900.0,2100.0,0.69,-0.27,0.26,10.4,-0.4,0.3,-0.05,-0.31,0.26,0.05,0.96159,,,,O3b,4.0
GW200112_155838,GWTC-3-confident,1,1262879936.0,35.6,-4.5,6.7,28.3,-5.9,4.4,63.9,-4.6,5.7,60.8,-4.3,5.3,27.4,-2.1,2.6,1250.0,-460.0,430.0,0.24,-0.08,0.07,19.8,-0.2,0.1,0.06,-0.15,0.15,1e-05,0.99,,,,O3a,3.1000000000000014
GW200115_042309,GWTC-3-confident,2,1263097407.7,5.9,-2.5,2.0,1.44,-0.28,0.85,7.4,-1.7,1.7,7.2,-1.7,1.8,2.43,-0.07,0.05,290.0,-100.0,150.0,0.06,-0.02,0.03,11.3,-0.5,0.3,-0.15,-0.42,0.23,1e-05,0.99,,,,O3a,0.20000000000000018
GW200128_022011,GWTC-3-confident,1,1264213229.9,42.2,-8.1,11.6,32.6,-9.2,9.5,75.0,-12.0,17.0,71.0,-11.0,16.0,32.0,-5.5,7.5,3400.0,-1800.0,2100.0,0.56,-0.28,0.28,10.6,-0.4,0.3,0.12,-0.25,0.24,0.0043,0.99,,,,O3a,4.0
