event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW230704_021211,GWTC-4.0,1,1372471949.2,32.4,-7.9,11.9,19.9,-6.0,6.5,52.7,-8.2,10.8,50.5,-7.9,10.6,21.8,-3.2,4.4,2700.0,-1500.0,1800.0,0.48,-0.23,0.25,9.4,,,-0.01,-0.24,0.21,0.21,0.99,,,,O4a,2.200000000000003
GW230704_212616,GWTC-4.0,1,1372541194.7,89.0,-27.0,42.0,49.0,-25.0,30.0,139.0,-31.0,49.0,132.0,-30.0,47.0,55.0,-14.0,23.0,7200.0,-4200.0,6100.0,1.05,-0.54,0.68,8.7,,,0.28,-0.43,0.34,0.51,0.93,,,,O4a,7.0
GW230706_104333,GWTC-4.0,1,1372675431.2,16.3,-3.0,5.4,11.5,-2.7,2.6,27.9,-3.0,4.4,26.5,-2.8,4.3,11.8,-1.1,1.7,1930.0,-980.0,920.0,0.35,-0.16,0.14,9.2,,,0.19,-0.14,0.13,0.23,0.98,,,,O4a,1.3999999999999986
GW230707_124047,GWTC-4.0,1,1372768865.3,46.1,-8.2,12.2,36.4,-9.8,10.6,82.0,-12.0,19.0,78.0,-11.0,18.0,35.1,-5.3,8.6,4500.0,-2300.0,2300.0,0.71,-0.32,0.29,11.9,,,-0.05,-0.29,0.25,0.0011,0.99,,,,O4a,4.0
GW230708_053705,GWTC-4.0,1,1372829843.1,29.1,-5.4,8.2,22.8,-5.4,5.5,51.9,-7.6,10.2,49.4,-7.2,9.7,22.2,-3.3,4.4,3300.0,-1700.0,2000.0,0.55,-0.25,0.27,8.9,,,0.07,-0.24,0.23,0.21999999999999997,0.99,,,,O4a,2.5
GW230708_071859,GWTC-4.0,1,1372835957.4,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,1.5,0.73,,,,O4a,
GW230708_230935,GWTC-4.0,1,1372892993.5,64.0,-15.0,20.0,39.0,-15.0,14.0,103.0,-16.0,21.0,99.0,-15.0,20.0,42.5,-7.8,9.7,3500.0,-1600.0,2300.0,0.58,-0.24,0.29,10.0,,,0.01,-0.3,0.27,0.0037,0.99,,,,O4a,4.0
GW230709_063445,GWTC-4.0,1,1372919703.1,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,15.0,0.83,,,,O4a,
GW230709_122727,GWTC-4.0,1,1372940865.2,45.0,-11.0,16.0,30.0,-13.0,13.0,74.0,-14.0,20.0,71.0,-13.0,19.0,31.0,-6.6,9.4,4600.0,-2400.0,3500.0,0.73,-0.34,0.43,10.2,,,0.08,-0.31,0.3,0.011,0.99,,,,O4a,3.0
GW230712_090405,GWTC-4.0,1,1373187863.9,32.0,-10.0,17.0,13.1,-5.9,14.6,46.0,-11.0,21.0,45.0,-11.0,20.0,16.5,-3.2,11.1,2000.0,-1000.0,2600.0,0.37,-0.17,0.36,9.5,,,-0.03,-0.31,0.35,0.018,0.99,,,,O4a,1.0
GW230717_102139,GWTC-4.0,1,1373624517.1,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,29.0,0.7,,,,O4a,
GW230721_222634,GWTC-4.0,1,1374013612.8,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,4.1,0.73,,,,O4a,
GW230723_084820,GWTC-4.0,1,1374137318.4,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,3.8999999999999995,0.64,,,,O4a,
GW230723_101834,GWTC-4.0,1,1374142732.4,16.7,-3.4,5.9,10.6,-2.8,2.8,27.5,-2.6,4.3,26.4,-2.6,4.2,11.4,-0.92,1.64,1610.0,-890.0,690.0,0.3,-0.16,0.11,10.1,,,-0.18,-0.17,0.2,0.0034,0.99,,,,O4a,1.1000000000000014
GW230726_002940,GWTC-4.0,1,1374366598.1,35.6,-5.9,9.0,27.9,-6.0,6.0,63.6,-7.9,10.3,60.6,-7.4,9.7,27.3,-3.4,4.4,2000.0,-1000.0,1200.0,0.37,-0.17,0.18,10.5,,,-0.02,-0.23,0.21,1e-05,0.99,,,,O4a,3.0
GW230728_083628,GWTC-4.0,1,1374568606.9,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,1.5,0.73,,,,O4a,
GW230729_082317,GWTC-4.0,1,1374654215.2,12.3,-2.7,7.6,7.6,-2.6,2.1,20.3,-2.4,5.0,19.4,-2.4,5.1,8.33,-0.75,0.94,1630.0,-760.0,820.0,0.31,-0.13,0.13,9.5,,,0.12,-0.13,0.22,0.18,0.95,,,,O4a,0.9000000000000021
GW230731_215307,GWTC-4.0,1,1374875605.9,10.4,-1.4,2.9,7.8,-1.6,1.2,18.3,-1.0,1.6,17.4,-1.0,1.6,7.77,-0.36,0.58,1110.0,-460.0,350.0,0.22,-0.08,0.06,12.2,,,-0.05,-0.06,0.11,1e-05,0.99,,,,O4a,0.9000000000000021
GW230803_033412,GWTC-4.0,1,1375068870.4,45.0,-12.0,19.0,29.0,-10.0,12.0,74.0,-16.0,22.0,70.0,-15.0,21.0,30.5,-6.7,9.3,4900.0,-2600.0,4000.0,0.77,-0.35,0.47,9.4,,,0.06,-0.31,0.29,0.31,0.99,,,,O4a,4.0
GW230805_034249,GWTC-4.0,1,1375242188.0,32.1,-7.3,12.5,22.6,-7.5,7.8,54.9,-9.7,13.8,52.4,-9.2,13.0,23.1,-4.2,5.9,3500.0,-1700.0,2600.0,0.58,-0.25,0.33,9.5,,,0.06,-0.28,0.27,0.0037,0.99,,,,O4a,2.5
GW230806_204041,GWTC-4.0,1,1375389659.9,51.0,-12.0,18.0,35.0,-13.0,14.0,85.0,-15.0,24.0,81.0,-15.0,23.0,35.8,-6.9,10.7,5500.0,-2900.0,3700.0,0.84,-0.39,0.44,9.4,,,0.08,-0.27,0.28,0.0037,0.99,,,,O4a,4.0
GW230807_205045,GWTC-4.0,1,1375476663.4,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,2.9,0.59,,,,O4a,
GW230811_032116,GWTC-4.0,1,1375759294.3,35.6,-7.5,8.7,22.1,-5.1,6.7,57.9,-6.6,8.7,55.3,-6.4,8.3,24.0,-2.4,4.1,2100.0,-1100.0,1200.0,0.38,-0.18,0.17,13.6,,,0.02,-0.18,0.18,1e-05,0.99,,,,O4a,2.6000000000000014
GW230814_061920,GWTC-4.0,1,1376029178.5,69.0,-17.0,19.0,42.0,-16.0,17.0,110.0,-20.0,26.0,105.0,-19.0,24.0,45.5,-9.9,11.9,4000.0,-2000.0,3400.0,0.65,-0.28,0.42,11.2,,,0.05,-0.28,0.29,0.00063,0.99,,,,O4a,5.0
GW230814_230901,GWTC-4.0,1,1376089759.8,33.6,-2.2,2.8,28.3,-3.0,2.1,61.8,-2.1,2.0,58.9,-1.9,1.9,26.75,-1.0,0.89,280.0,-130.0,170.0,0.06,-0.03,0.03,43.0,,,-0.01,-0.08,0.06,1e-05,0.99,,,,O4a,2.8999999999999986
GW230814_230901,O4_Discovery_Papers,2,1376089759.8,33.7,-2.2,2.9,28.2,-3.1,2.2,61.9,-2.0,2.0,,,,26.8,-1.0,0.9,289.0,-130.0,183.0,0.06,-0.03,0.04,42.13,-0.11,0.07,-0.01,-0.07,0.06,1e-05,,,,,O4a,
GW230817_212349,GWTC-4.0,1,1376342647.1,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,6.2,0.86,,,,O4a,
GW230819_171910,GWTC-4.0,1,1376500768.4,70.0,-21.0,47.0,35.0,-19.0,20.0,106.0,-22.0,41.0,102.0,-22.0,41.0,42.0,-11.0,14.0,4000.0,-2200.0,3900.0,0.65,-0.31,0.49,9.9,,,-0.04,-0.43,0.36,0.011,0.99,,,,O4a,4.0
GW230820_212515,GWTC-4.0,1,1376601934.0,62.0,-15.0,23.0,34.0,-18.0,18.0,96.0,-16.0,22.0,92.0,-16.0,21.0,38.6,-9.8,11.2,4000.0,-2100.0,3000.0,0.65,-0.3,0.38,9.3,,,0.21,-0.29,0.31,0.24,0.97,,,,O4a,4.0
GW230822_230337,GWTC-4.0,1,1376780635.5,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,1.5,0.86,,,,O4a,
GW230823_142524,GWTC-4.0,1,1376835942.6,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,1.6,0.86,,,,O4a,
GW230824_033047,GWTC-4.0,1,1376883065.7,53.0,-11.0,16.0,36.0,-13.0,12.0,88.0,-14.0,19.0,84.0,-13.0,19.0,37.0,-6.3,9.1,4700.0,-2300.0,2900.0,0.74,-0.32,0.36,11.1,,,,,,1e-05,0.99,,,,O4a,4.0
GW230824_135331,GWTC-4.0,1,1376920429.9,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,6.2,0.58,,,,O4a,
GW230825_041334,GWTC-4.0,1,1376972032.5,43.0,-12.0,17.0,27.3,-8.9,11.9,71.0,-15.0,22.0,67.0,-15.0,20.0,29.4,-6.3,9.4,4900.0,-2900.0,4200.0,0.77,-0.4,0.5,8.8,,,0.28,-0.29,0.25,0.1,0.98,,,,O4a,4.0
GW230830_064744,GWTC-4.0,1,1377413282.2,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,3.5,0.55,,,,O4a,
GW230831_015414,GWTC-4.0,1,1377482072.1,42.0,-10.0,18.0,30.0,-10.0,12.0,73.0,-15.0,26.0,69.0,-14.0,24.0,30.7,-6.5,10.6,4900.0,-2900.0,4200.0,0.77,-0.4,0.5,8.6,,,0.03,-0.3,0.3,0.29,0.99,,,,O4a,4.0
GW230831_134621,GWTC-4.0,1,1377524799.7,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,12.0,0.8,,,,O4a,
GW230902_122814,GWTC-4.0,1,1377692912.9,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,2.0,0.84,,,,O4a,
GW230902_172430,GWTC-4.0,1,1377710688.8,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,39.0,0.59,,,,O4a,
GW230902_224555,GWTC-4.0,1,1377729973.7,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,51.0,0.52,,,,O4a,
GW230904_051013,GWTC-4.0,1,1377839431.1,10.6,-1.9,4.1,7.1,-1.9,1.5,17.9,-1.6,2.4,17.1,-1.6,2.5,7.54,-0.6,0.53,1010.0,-420.0,600.0,0.2,-0.08,0.1,10.5,,,0.05,-0.07,0.15,3.9e-05,0.99,,,,O4a,0.7999999999999972
GW230904_152545,GWTC-4.0,1,1377876363.2,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,18.0,0.74,,,,O4a,
GW230911_195324,GWTC-4.0,1,1378497222.2,33.6,-7.3,8.1,21.7,-5.7,5.6,55.3,-7.0,7.8,53.0,-6.7,7.4,23.1,-3.0,3.4,1370.0,-720.0,1160.0,0.26,-0.13,0.18,11.1,,,-0.03,-0.23,0.19,0.001,0.99,,,,O4a,2.299999999999997
GW230914_111401,GWTC-4.0,1,1378725259.7,59.0,-11.0,12.0,36.0,-12.0,13.0,95.0,-10.0,15.0,90.9,-9.7,14.0,39.6,-6.2,7.5,2700.0,-1200.0,1600.0,0.47,-0.19,0.23,17.2,,,0.12,-0.2,0.19,1e-05,0.99,,,,O4a,4.099999999999994
GW230919_215712,GWTC-4.0,1,1379195850.0,27.3,-3.7,5.5,21.4,-4.3,3.5,49.0,-4.5,4.2,46.5,-4.3,3.9,21.0,-1.9,1.8,1330.0,-500.0,790.0,0.26,-0.09,0.13,16.8,,,0.18,-0.13,0.12,1e-05,0.99,,,,O4a,2.5
GW230920_064709,GWTC-4.0,1,1379227647.3,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,4.8,0.81,,,,O4a,
GW230920_071124,GWTC-4.0,1,1379229102.7,32.4,-6.2,9.1,23.8,-6.9,6.6,56.4,-8.0,10.2,53.9,-7.6,9.6,23.9,-3.4,4.6,2900.0,-1400.0,1800.0,0.5,-0.21,0.24,11.1,,,,,,1e-05,0.99,,,,O4a,2.5
GW230922_020344,GWTC-4.0,1,1379383442.9,39.3,-6.3,10.0,29.2,-6.2,5.6,68.6,-6.5,8.9,65.4,-6.1,8.4,29.2,-2.6,3.6,1640.0,-730.0,730.0,0.31,-0.12,0.11,13.4,,,0.03,-0.21,0.2,1e-05,0.99,,,,O4a,3.1999999999999886
GW230922_040658,GWTC-4.0,1,1379390836.1,76.0,-18.0,29.0,51.0,-24.0,23.0,125.0,-21.0,37.0,119.0,-21.0,34.0,52.0,-11.0,17.0,6400.0,-3500.0,4100.0,0.96,-0.45,0.47,12.5,,,0.31,-0.32,0.25,1e-05,0.99,,,,O4a,6.0
GW230924_124453,GWTC-4.0,1,1379594711.8,28.8,-4.0,5.9,23.1,-4.4,4.4,51.8,-4.9,7.0,49.3,-4.6,6.6,22.3,-2.1,3.1,2400.0,-1000.0,1000.0,0.42,-0.16,0.15,13.5,,,0.02,-0.18,0.18,1e-05,0.99,,,,O4a,2.5
GW230925_143957,GWTC-4.0,1,1379688015.5,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,8.2,0.55,,,,O4a,
GW230927_043729,GWTC-4.0,1,1379824667.1,34.9,-6.1,8.7,27.1,-6.5,7.2,61.8,-8.0,12.6,58.9,-7.6,11.9,26.5,-3.5,5.5,3300.0,-1700.0,1700.0,0.55,-0.26,0.23,12.1,,,0.01,-0.22,0.2,1e-05,0.99,,,,O4a,2.8999999999999986
GW230927_153832,GWTC-4.0,1,1379864330.9,21.9,-2.9,3.7,16.5,-2.5,2.6,38.3,-2.2,3.3,36.5,-2.1,3.1,16.36,-0.82,1.42,1180.0,-530.0,380.0,0.23,-0.1,0.06,20.3,,,0.03,-0.08,0.08,1e-05,0.99,,,,O4a,1.7999999999999972
GW230928_215827,GWTC-4.0,1,1379973525.1,54.0,-15.0,19.0,29.0,-11.0,14.0,83.0,-18.0,22.0,79.0,-17.0,21.0,33.6,-7.5,9.9,5000.0,-2500.0,3900.0,0.78,-0.34,0.47,10.5,,,0.4,-0.28,0.2,1.4999999999999999e-05,0.99,,,,O4a,4.0
GW230930_110730,GWTC-4.0,1,1380107268.4,34.4,-7.8,12.9,24.4,-7.4,8.3,59.0,-10.0,15.0,56.3,-9.7,14.2,24.9,-4.2,6.3,4900.0,-2500.0,3200.0,0.77,-0.34,0.38,9.0,,,0.03,-0.27,0.26,0.17,0.99,,,,O4a,2.700000000000003
GW231001_140220,GWTC-4.0,1,1380204158.7,75.0,-22.0,26.0,40.0,-16.0,18.0,115.0,-22.0,32.0,111.0,-21.0,31.0,46.4,-9.9,14.3,4400.0,-2400.0,3800.0,0.71,-0.34,0.47,11.5,,,-0.04,-0.35,0.33,1.6e-05,0.99,,,,O4a,4.0
GW231002_143916,GWTC-4.0,1,1380292774.7,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,1.0,0.9,,,,O4a,
GW231004_232346,GWTC-4.0,1,1380497044.3,65.0,-19.0,25.0,35.0,-14.0,16.0,100.0,-19.0,28.0,96.0,-19.0,26.0,40.1,-8.5,11.7,4300.0,-2200.0,3600.0,0.69,-0.31,0.44,8.9,,,-0.05,-0.37,0.3,0.16,0.97,,,,O4a,4.0
GW231005_021030,GWTC-4.0,1,1380507049.0,83.0,-23.0,31.0,49.0,-20.0,22.0,132.0,-25.0,37.0,126.0,-24.0,35.0,54.0,-12.0,17.0,6400.0,-3300.0,4700.0,0.95,-0.43,0.54,10.4,,,0.1,-0.37,0.35,0.01,0.99,,,,O4a,6.0
GW231005_091549,GWTC-4.0,1,1380532567.5,28.8,-6.1,10.1,21.2,-6.1,6.4,50.2,-8.3,11.3,48.0,-7.9,10.8,21.3,-3.5,4.8,3800.0,-1900.0,2600.0,0.62,-0.27,0.33,11.0,,,-0.03,-0.26,0.23,0.04,0.99,,,,O4a,2.200000000000003
GW231005_144455,GWTC-4.0,1,1380552313.4,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,60.0,0.55,,,,O4a,
GW231008_142521,GWTC-4.0,1,1380810339.8,45.0,-12.0,17.0,25.5,-9.7,10.7,71.0,-13.0,16.0,69.0,-13.0,15.0,28.9,-5.6,6.8,3000.0,-1300.0,2500.0,0.51,-0.2,0.33,9.3,,,-0.01,-0.28,0.26,0.0016,0.99,,,,O4a,2.0
GW231013_135504,GWTC-4.0,1,1381240522.4,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,64.0,0.54,,,,O4a,
GW231014_040532,GWTC-4.0,1,1381291551.0,20.6,-4.0,7.8,14.7,-4.3,3.9,35.5,-4.6,7.0,33.8,-4.3,6.6,15.0,-1.9,2.7,2300.0,-1200.0,1400.0,0.42,-0.2,0.2,9.0,,,0.17,-0.28,0.26,0.21,0.96,,,,O4a,1.7000000000000028
GW231018_233037,GWTC-4.0,1,1381707055.0,11.6,-2.5,4.9,7.2,-2.0,1.9,19.1,-2.0,3.3,18.2,-2.0,3.3,7.9,-0.68,0.88,1530.0,-730.0,760.0,0.29,-0.13,0.12,9.1,,,0.01,-0.13,0.17,0.68,0.93,,,,O4a,0.9000000000000021
GW231020_142947,GWTC-4.0,1,1381847405.6,12.1,-2.7,9.1,7.3,-2.9,2.1,19.8,-2.1,6.0,18.9,-2.0,6.3,8.06,-0.53,0.81,1230.0,-630.0,520.0,0.24,-0.11,0.09,12.0,,,0.15,-0.12,0.25,1e-05,0.99,,,,O4a,0.9000000000000021
GW231026_130704,GWTC-4.0,1,1382360842.2,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,1.7,0.93,,,,O4a,
GW231028_153006,GWTC-4.0,1,1382542224.3,95.0,-20.0,33.0,58.0,-25.0,21.0,152.0,-14.0,29.0,144.0,-13.0,27.0,63.0,-10.0,13.0,4100.0,-1900.0,1400.0,0.67,-0.27,0.18,22.4,,,0.44,-0.2,0.16,1e-05,0.99,,,,O4a,8.0
GW231029_111508,GWTC-4.0,1,1382613326.8,65.0,-14.0,17.0,42.0,-15.0,15.0,106.0,-16.0,22.0,101.0,-15.0,21.0,44.2,-8.0,10.5,3100.0,-1700.0,2400.0,0.53,-0.25,0.32,10.8,,,0.14,-0.24,0.24,5.2000000000000004e-05,0.99,,,,O4a,5.0
GW231102_052214,GWTC-4.0,1,1382937752.4,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,4.0,0.72,,,,O4a,
GW231102_071736,GWTC-4.0,1,1382944674.4,61.0,-12.0,14.0,43.0,-13.0,13.0,102.0,-13.0,21.0,98.0,-12.0,19.0,43.4,-6.3,9.3,3800.0,-1800.0,2100.0,0.63,-0.26,0.26,15.6,,,0.06,-0.22,0.23,1e-05,0.99,,,,O4a,4.0
GW231102_232433,GWTC-4.0,1,1383002691.5,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,2.5,0.8,,,,O4a,
GW231104_133418,GWTC-4.0,1,1383140076.9,12.3,-2.1,4.5,8.6,-2.2,1.8,21.0,-1.7,2.8,20.0,-1.7,2.8,8.84,-0.56,0.87,1470.0,-660.0,540.0,0.28,-0.11,0.09,11.8,,,0.14,-0.07,0.12,1e-05,0.99,,,,O4a,1.0
GW231108_125142,GWTC-4.0,1,1383483120.5,23.2,-3.6,5.5,17.4,-3.1,3.2,40.6,-3.3,5.1,38.8,-3.2,4.9,17.3,-1.3,2.1,2060.0,-910.0,730.0,0.37,-0.15,0.11,12.6,,,-0.08,-0.15,0.13,1e-05,0.99,,,,O4a,1.8000000000000043
GW231110_040320,GWTC-4.0,1,1383624218.2,19.5,-4.1,5.8,12.5,-2.9,3.1,32.2,-3.4,4.3,30.6,-3.3,4.2,13.4,-1.2,1.7,1890.0,-910.0,870.0,0.35,-0.15,0.13,11.5,,,0.17,-0.12,0.13,1e-05,0.99,,,,O4a,1.6000000000000014
GW231113_122623,GWTC-4.0,1,1383913601.9,39.7,-9.6,17.3,26.4,-9.4,9.0,67.0,-13.0,16.0,63.0,-12.0,15.0,27.9,-5.5,6.3,3400.0,-1700.0,2400.0,0.57,-0.25,0.31,8.6,,,0.33,-0.33,0.25,0.28,0.99,,,,O4a,4.0
GW231113_150041,GWTC-4.0,1,1383922859.4,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,1.7999999999999998,0.96,,,,O4a,
GW231113_200417,GWTC-4.0,1,1383941075.9,11.5,-2.3,5.1,7.4,-2.0,1.8,19.2,-1.9,3.1,18.3,-1.9,3.2,8.01,-0.64,0.68,1160.0,-530.0,640.0,0.23,-0.1,0.11,10.5,,,0.13,-0.08,0.14,3.8e-05,0.99,,,,O4a,0.8999999999999986
GW231114_043211,GWTC-4.0,1,1383971549.2,22.7,-6.4,9.6,8.2,-2.2,2.6,31.0,-4.8,7.6,30.0,-4.8,7.8,11.6,-1.1,1.1,1380.0,-610.0,870.0,0.26,-0.11,0.14,10.0,,,0.08,-0.16,0.22,0.00013,0.99,,,,O4a,1.0
GW231118_005626,GWTC-4.0,1,1384304204.8,19.8,-4.9,6.6,10.9,-2.4,3.3,30.9,-3.6,5.3,29.3,-3.6,5.3,12.6,-1.1,1.6,2190.0,-970.0,930.0,0.39,-0.16,0.14,10.7,,,0.37,-0.11,0.1,1e-05,0.99,,,,O4a,1.5999999999999979
GW231118_071402,GWTC-4.0,1,1384326860.2,43.0,-10.0,15.0,29.0,-10.0,11.0,72.0,-14.0,18.0,69.0,-13.0,17.0,30.4,-6.1,7.9,4300.0,-2200.0,3500.0,0.69,-0.32,0.43,9.2,,,0.11,-0.28,0.29,0.0028,0.99,,,,O4a,3.0
GW231118_090602,GWTC-4.0,1,1384333580.0,13.1,-3.3,13.7,7.3,-3.3,2.1,20.7,-2.3,10.2,19.7,-2.3,10.6,8.37,-0.56,0.76,1350.0,-600.0,540.0,0.26,-0.11,0.09,11.0,,,0.08,-0.09,0.36,1e-05,0.99,,,,O4a,1.0
GW231119_075248,GWTC-4.0,1,1384415586.1,49.0,-13.0,23.0,33.0,-13.0,15.0,82.0,-18.0,29.0,79.0,-18.0,27.0,34.4,-7.8,12.4,6700.0,-3700.0,5500.0,0.99,-0.48,0.62,8.3,,,,,,0.019,0.99,,,,O4a,3.0
GW231120_022103,GWTC-4.0,1,1384482081.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,3.8000000000000003,0.9,,,,O4a,
GW231123_135430,O4_Discovery_Papers,1,1384782888.6,137.0,-18.0,23.0,101.0,-50.0,22.0,236.0,-47.0,30.0,222.0,-42.0,28.0,,,,2200.0,-1500.0,1900.0,0.4,-0.25,0.27,20.7,-0.3,0.2,0.32,-0.41,0.25,0.0001,,,,,O4a,14.0
GW231123_135430,GWTC-4.0,2,1384782888.7,137.0,-18.0,23.0,101.0,-51.0,22.0,236.0,-48.0,29.0,222.0,-42.0,27.0,101.0,-30.0,13.0,2200.0,-1500.0,2000.0,0.39,-0.25,0.28,21.8,,,0.31,-0.41,0.25,1e-05,0.99,,,,O4a,14.0
GW231126_010928,GWTC-4.0,1,1384996186.3,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,4.2,0.86,,,,O4a,
GW231127_165300,GWTC-4.0,1,1385139198.9,45.0,-12.0,18.0,29.0,-12.0,12.0,74.0,-15.0,22.0,71.0,-14.0,21.0,30.5,-6.7,9.5,4500.0,-2500.0,3600.0,0.71,-0.35,0.44,9.9,,,0.05,-0.32,0.3,0.01,0.99,,,,O4a,3.0
GW231129_081745,GWTC-4.0,1,1385281083.6,45.0,-13.0,15.0,23.8,-8.2,10.0,69.0,-14.0,18.0,66.0,-14.0,17.0,27.7,-5.7,7.7,3800.0,-2100.0,3600.0,0.63,-0.31,0.45,9.4,,,0.02,-0.26,0.27,0.056,0.99,,,,O4a,3.0
GW231204_090648,GWTC-4.0,1,1385716026.9,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,3.5999999999999996,0.54,,,,O4a,
GW231206_010629,GWTC-4.0,1,1385860007.2,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,6.8999999999999995,0.58,,,,O4a,
GW231206_233134,GWTC-4.0,1,1385940712.5,35.6,-6.3,9.1,28.1,-7.1,7.5,63.5,-8.8,13.4,60.6,-8.4,12.7,27.2,-3.9,5.9,3200.0,-1800.0,1800.0,0.54,-0.27,0.25,12.8,,,-0.09,-0.24,0.22,1e-05,0.99,,,,O4a,2.8999999999999986
GW231206_233901,GWTC-4.0,1,1385941159.5,37.6,-4.6,6.6,28.4,-6.0,5.4,66.0,-3.7,5.3,63.1,-3.4,5.0,28.1,-1.7,2.7,1490.0,-490.0,340.0,0.28,-0.08,0.05,21.9,,,-0.05,-0.15,0.14,1e-05,0.99,,,,O4a,2.8999999999999986
GW231213_111417,GWTC-4.0,1,1386501275.9,35.5,-6.7,10.3,27.2,-7.5,8.1,62.5,-9.3,14.3,59.5,-8.8,13.4,26.7,-4.2,6.3,4000.0,-2000.0,2300.0,0.65,-0.29,0.3,10.4,,,0.06,-0.23,0.24,1e-05,0.99,,,,O4a,3.0
GW231220_173406,GWTC-4.0,1,1387128864.2,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,6.2,0.77,,,,O4a,
GW231221_135041,GWTC-4.0,1,1387201859.3,47.0,-13.0,21.0,28.0,-13.0,13.0,76.0,-15.0,21.0,72.0,-15.0,20.0,30.7,-6.8,9.5,4600.0,-2500.0,3700.0,0.73,-0.36,0.45,10.0,,,0.01,-0.38,0.36,0.54,0.96,,,,O4a,4.0
GW231223_032836,GWTC-4.0,1,1387337334.1,46.0,-11.0,16.0,31.0,-14.0,12.0,76.0,-13.0,18.0,73.0,-13.0,17.0,31.8,-7.0,8.6,4200.0,-2100.0,3100.0,0.67,-0.3,0.39,10.2,,,-0.15,-0.37,0.33,0.00038,0.99,,,,O4a,3.0
GW231223_075055,GWTC-4.0,1,1387353073.3,11.9,-2.8,6.8,6.8,-2.1,2.0,19.0,-2.0,4.6,18.1,-1.9,4.8,7.79,-0.59,0.58,970.0,-430.0,580.0,0.19,-0.08,0.1,9.4,,,0.06,-0.12,0.22,0.55,0.98,,,,O4a,0.8999999999999986
GW231223_202619,GWTC-4.0,1,1387398397.0,11.1,-1.6,3.8,8.3,-1.9,1.4,19.6,-1.5,2.2,18.7,-1.5,2.2,8.36,-0.57,0.66,890.0,-440.0,490.0,0.18,-0.08,0.08,10.0,,,0.1,-0.11,0.13,0.002,0.99,,,,O4a,0.9000000000000021
GW231224_024321,GWTC-4.0,1,1387421020.0,9.3,-1.1,2.2,7.3,-1.3,1.0,16.66,-0.78,1.29,15.89,-0.76,1.26,7.13,-0.29,0.48,950.0,-400.0,290.0,0.19,-0.07,0.05,14.0,,,-0.01,-0.06,0.08,1e-05,0.99,,,,O4a,0.7699999999999996
GW231226_101520,GWTC-4.0,1,1387620938.3,40.1,-2.9,4.4,35.0,-4.9,3.2,74.8,-3.0,4.1,71.4,-2.8,3.8,32.4,-1.4,1.8,1180.0,-350.0,240.0,0.23,-0.06,0.04,34.7,,,-0.09,-0.1,0.09,1e-05,0.99,,,,O4a,3.3999999999999915
GW231230_170116,GWTC-4.0,1,1387990895.0,54.0,-15.0,50.0,35.0,-14.0,15.0,89.0,-20.0,49.0,85.0,-19.0,47.0,36.9,-8.4,14.3,5700.0,-3200.0,4800.0,0.87,-0.43,0.56,8.2,,,-0.19,-0.35,0.34,0.42,0.96,,,,O4a,4.0
GW231231_120147,GWTC-4.0,1,1388059325.6,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,4.5,0.86,,,,O4a,
